Date,Withdrawals,Deposits,Balance
22-11-2023,1850,0,277.76
22-11-2023,0,1850,2127.76
22-11-2023,1850,0,277.76
25-11-2023,85,0,192.76
26-11-2023,60,0,132.76
27-11-2023,1,0,131.76
27-11-2023,0,300,431.76
27-11-2023,220,0,211.76
1/12/2023,0,100,311.76
1/12/2023,270,0,41.76
1/12/2023,0,20,61.76
1/12/2023,0,270,331.76
1/12/2023,60,0,271.76
2/12/2023,100,0,171.76
4/12/2023,0,1000,1171.76
4/12/2023,1000,0,171.76
5/12/2023,0,100,271.76
5/12/2023,0,500,771.76
5/12/2023,0,2500,3271.76
6/12/2023,500,0,2771.76
6/12/2023,0,500,3271.76
9/12/2023,0,1000,4271.76
9/12/2023,950,0,3321.76
9/12/2023,60,0,3261.76
14-12-2023,0,80,3341.76
15-12-2023,1,0,3340.76
15-12-2023,72,0,3268.76
16-12-2023,50,0,3218.76
16-12-2023,0,100,3318.76
16-12-2023,570,0,2748.76
16-12-2023,0,11000,13748.76
16-12-2023,0,10000,23748.76
16-12-2023,10000,0,13748.76
16-12-2023,12000,0,1748.76
16-12-2023,20,0,1728.76
17-12-2023,1,0,1727.76
17-12-2023,1,0,1726.76
17-12-2023,0,15,1741.76
17-12-2023,0,330,2071.76
17-12-2023,0,42.5,2114.26
18-12-2023,0,40,2154.26
18-12-2023,20,0,2134.26
18-12-2023,48,0,2086.26
20-12-2023,110,0,1976.26
20-12-2023,0,50,2026.26
20-12-2023,2000,0,26.26
20-12-2023,0,400,426.26
20-12-2023,0,600,1026.26
20-12-2023,0,250,1276.26
21-12-2023,50,0,1226.26
21-12-2023,0,10,1236.26
21-12-2023,0,10,1246.26
21-12-2023,0,30,1276.26
21-12-2023,0,20,1296.26
21-12-2023,0,10,1306.26
21-12-2023,0,65,1371.26
21-12-2023,150,0,1221.26
24-12-2023,0,7,1228.26
26-12-2023,150,0,1078.26
26-12-2023,50,0,1028.26
27-12-2023,0,350,1378.26
31-12-2023,350,0,1028.26
2/1/2024,180.5,0,847.76
5/1/2024,0,450,1297.76
5/1/2024,156.5,0,1141.26
6/1/2024,0,40,1181.26
6/1/2024,0,40,1221.26
6/1/2024,180,0,1041.26
8/1/2024,500,0,541.26
10/1/2024,0,100,641.26
10/1/2024,100,0,541.26
11/1/2024,500,0,41.26
17-01-2024,0,18000,18041.26
17-01-2024,0,9000,27041.26
17-01-2024,0,1,27042.26
17-01-2024,0,8999,36041.26
19-01-2024,0,128,36169.26
19-01-2024,156.5,0,36012.76
19-01-2024,0,4000,40012.76
19-01-2024,0,200,40212.76
19-01-2024,1,0,40211.76
19-01-2024,40000,0,211.76
24-01-2024,0,17,228.76
28-01-2024,180.5,0,48.26
5/2/2024,0,450,498.26
